date,open,high,low,close
2/6/20,6.9759,6.9819,6.9599,6.9708
2/5/20,7.0001,7.0065,6.9699,6.9726
2/4/20,7.0175,7.018,6.9888,6.9984
2/3/20,6.9896,7.0255,6.9881,7.0215
1/24/20,6.917,6.917,6.9039,6.9119
1/23/20,6.9087,6.9426,6.9087,6.9426
1/22/20,6.9065,6.9171,6.897,6.9066
1/21/20,6.877,6.9088,6.877,6.9058
1/20/20,6.86,6.867,6.8408,6.867
1/17/20,6.8793,6.8793,6.8537,6.8598
1/16/20,6.89,6.892,6.8747,6.8815
1/15/20,6.8935,6.8981,6.8847,6.8909
1/14/20,6.8774,6.8938,6.8671,6.8842
1/13/20,6.9119,6.9145,6.8885,6.8933
1/10/20,6.9311,6.9408,6.9193,6.9193
1/9/20,6.9377,6.9393,6.9221,6.9319
1/8/20,6.9535,6.9544,6.9376,6.9458
1/7/20,6.9679,6.97,6.9321,6.9453
1/6/20,6.9676,6.979,6.9676,6.976
1/3/20,6.9636,6.9751,6.9636,6.9669
1/2/20,6.9654,6.974,6.9601,6.9643
12/31/19,6.9789,6.9854,6.9584,6.9632
12/30/19,6.9925,6.9951,6.9798,6.9867
12/27/19,6.9979,7.0011,6.9909,6.9957
12/26/19,6.987,7.0028,6.9862,6.9965
12/25/19,7.004,7.0045,6.9823,6.9894
12/24/19,7.0116,7.014,7.0044,7.0071
12/23/19,7.0074,7.0141,7.0074,7.0128
12/20/19,7.0072,7.0157,7.0059,7.0059
12/19/19,7.0023,7.0104,6.997,7.0104
12/18/19,6.9977,7.008,6.9957,7.0031
12/17/19,6.9983,7.0029,6.9952,6.9969
12/16/19,6.9995,7.0074,6.9872,6.9935
12/13/19,6.9802,7.0071,6.9614,6.9816
12/12/19,7.0308,7.0373,6.9849,7.0044
12/11/19,7.0378,7.0438,7.0339,7.0388
12/10/19,7.0407,7.0432,7.0319,7.0342
12/9/19,7.0339,7.0455,7.0309,7.0393
12/6/19,7.0417,7.0499,7.0276,7.035
12/5/19,7.0527,7.058,7.0366,7.0448
12/4/19,7.0602,7.0763,7.048,7.0499
12/3/19,7.0416,7.0638,7.037,7.0613
12/2/19,7.027,7.0456,7.0259,7.0393
11/29/19,7.0323,7.0372,7.0159,7.0325
11/28/19,7.0309,7.0366,7.0238,7.0353
11/27/19,7.0251,7.034,7.0181,7.029
11/26/19,7.0246,7.0444,7.0246,7.0336
11/25/19,7.0345,7.0386,7.0285,7.0364
11/22/19,7.0276,7.0441,7.0253,7.0383
11/21/19,7.0456,7.0456,7.0263,7.0289
11/20/19,7.0336,7.0408,7.0258,7.0354
11/19/19,7.0278,7.0301,7.021,7.0276
11/18/19,7.0154,7.0282,7.0078,7.026
11/15/19,7.0033,7.016,7,7.0081
11/14/19,7.0235,7.0267,7.0148,7.0208
11/13/19,7.0259,7.0269,7.0133,7.0234
11/12/19,7.0045,7.0102,6.9965,7.0079
11/11/19,6.9959,7.0145,6.9924,7.0103
11/8/19,6.9703,7.0018,6.9691,6.9959
11/7/19,7.0102,7.023,6.9689,6.9784
11/6/19,7,7.0057,6.9891,6.9981
11/5/19,7.0292,7.0303,6.9871,7.0097
11/4/19,7.0315,7.0338,7.0202,7.0304
11/1/19,7.0478,7.0492,7.0344,7.037
10/31/19,7.044,7.051,7.0303,7.0391
10/30/19,7.0661,7.0691,7.052,7.0553
10/29/19,7.0643,7.0702,7.0539,7.0658
10/28/19,7.0594,7.0718,7.0535,7.0683
10/25/19,7.0715,7.077,7.0631,7.0654
10/24/19,7.0679,7.0759,7.0546,7.069
10/23/19,7.0821,7.0886,7.0622,7.0651
10/22/19,7.0719,7.0858,7.0692,7.0769
10/21/19,7.0718,7.0783,7.066,7.076
10/18/19,7.0684,7.0899,7.0671,7.0817
10/17/19,7.0972,7.1034,7.0685,7.0777
10/16/19,7.0997,7.1041,7.0908,7.0935
10/15/19,7.068,7.0865,7.0609,7.0818
10/14/19,7.0858,7.0866,7.0507,7.0675
10/11/19,7.1026,7.1099,7.0843,7.0883
10/10/19,7.1236,7.13,7.1023,7.1163
10/9/19,7.1509,7.1512,7.1217,7.1328
10/8/19,7.1337,7.1485,7.1204,7.1444
9/30/19,7.1295,7.1495,7.1188,7.1483
9/27/19,7.13,7.1412,7.1121,7.1228
9/26/19,7.1272,7.1361,7.12,7.1325
9/25/19,7.1117,7.135,7.1068,7.1315
9/24/19,7.1181,7.121,7.1012,7.1164
9/23/19,7.1046,7.1311,7.1046,7.118
9/20/19,7.0958,7.0974,7.0799,7.0909
9/19/19,7.0905,7.1068,7.0905,7.0965
9/18/19,7.0894,7.0931,7.0821,7.086
9/17/19,7.0752,7.0999,7.0711,7.0922
9/16/19,7.0672,7.0772,7.0622,7.0673
9/13/19,7.0792,7.0792,7.0787,7.0787
9/12/19,7.0992,7.1042,7.0646,7.0793
9/11/19,7.118,7.125,7.1056,7.1158
9/10/19,7.1163,7.1215,7.0992,7.1127
9/9/19,7.122,7.1366,7.1187,7.122
9/6/19,7.145,7.1556,7.1094,7.1164
9/5/19,7.1255,7.1553,7.124,7.1492
9/4/19,7.1705,7.1705,7.1411,7.146
9/3/19,7.174,7.1863,7.1715,7.1789
9/2/19,7.1628,7.1765,7.1564,7.172
8/30/19,7.149,7.1564,7.1381,7.156
